Time,HumanVelocity,RobotVelocity,InteractionForce
0,0,0,0
0.001,0.00314158748587956,0,0.00029098104957593
0.002,0.00628314396555895,0.00314158748587956,0.0002445395882888
0.003,0.00942463843314401,0.00628314396555895,0.00019808950998127
0.004,0.0125660398833526,0.00942463843314401,0.000151631271674592
0.005,0.0157073173118207,0.0125660398833526,0.000105165330551529
0.006,0.0188484397154082,0.0157073173118207,5.86921439397357e-05
0.007,0.0219893760925051,0.0188484397154082,1.22121693144459e-05
0.008,0.0251300954433375,0.0219893760925051,-3.42741357108227e-05
0.009,0.0282705667702733,0.0251300954433375,-8.07663133809155e-05
0.01,0.0314107590781283,0.0282705667702733,-0.000127263905817008
0.011,0.0345506413744723,0.0314107590781283,-0.000173766455005925
0.012,0.0376901826699345,0.0345506413744723,-0.00022027350281745
0.013,0.04082935197851,0.0376901826699345,-0.00026678459099765
0.014,0.0439681183178649,0.04082935197851,-0.000313299261184185
0.015,0.0471064507096427,0.0439681183178649,-0.000359817054902302
0.016,0.0502443181797696,0.0471064507096427,-0.000406337513574834
0.017,0.0533816897587605,0.0502443181797696,-0.000452860178522853
0.018,0.0565185344820245,0.0533816897587605,-0.000499384590973001
0.019,0.0596548213901707,0.0565185344820245,-0.000545910292058832
0.02,0.0627905195293134,0.0596548213901707,-0.000592436822832803
0.021,0.0659255979513779,0.0627905195293134,-0.000638963724257625
0.022,0.0690600257144058,0.0659255979513779,-0.000685490537226268
0.023,0.0721937718828606,0.0690600257144058,-0.000732016802553296
0.024,0.0753268055279327,0.0721937718828606,-0.000778542060988235
0.025,0.0784590957278449,0.0753268055279327,-0.000825065853214905
0.026,0.0815906115681576,0.0784590957278449,-0.000871587719858776
0.027,0.0847213221420734,0.0815906115681576,-0.000918107201490334
0.028,0.0878511965507432,0.0847213221420734,-0.000964623838631762
0.029,0.0909802039035699,0.0878511965507432,-0.0010111371717563
0.03,0.0941083133185143,0.0909802039035699,-0.00105764674129764
0.031,0.0972354939223993,0.0941083133185143,-0.00110415208765456
0.032,0.100361714851215,0.0972354939223993,-0.00115065275119237
0.033,0.103486945250423,0.100361714851215,-0.00119714827224822
0.034,0.10661115427526,0.103486945250423,-0.00124363819113719
0.035,0.109734311091045,0.10661115427526,-0.00129012204815831
0.036,0.112856384873482,0.109734311091045,-0.00133659938359328
0.037,0.115977344808961,0.112856384873482,-0.00138306973771516
0.038,0.11909716009487,0.115977344808961,-0.00142953265079582
0.039,0.122215799939889,0.11909716009487,-0.00147598766310326
0.04,0.125333233564304,0.122215799939889,-0.00152243431491171
0.041,0.128449430200303,0.125333233564304,-0.00156887214650435
0.042,0.131564359092283,0.128449430200303,-0.00161530069817868
0.043,0.134677989497153,0.131564359092283,-0.00166171951024729
0.044,0.137790290684638,0.134677989497153,-0.00170812812305059
0.045,0.140901231937583,0.137790290684638,-0.00175452607695085
0.046,0.144010782552252,0.140901231937583,-0.00180091291234832
0.047,0.147118911838637,0.144010782552252,-0.00184728816967326
0.048,0.150225589120757,0.147118911838637,-0.00189365138940138
0.049,0.153330783736961,0.150225589120757,-0.00194000211205329
0.05,0.156434465040231,0.153330783736961,-0.00198633987819917
0.051,0.159536602398486,0.156434465040231,-0.00203266422846359
0.052,0.162637165194884,0.159536602398486,-0.00207897470353025
0.053,0.16573612282812,0.162637165194884,-0.00212527084414739
0.054,0.168833444712734,0.16573612282812,-0.00217155219113392
