Time,HumanVelocity,RobotVelocity,InteractionForce
0,0,0,0
0.001,0.00314158748587956,0.00235619449019234,1.17823108759512
0.002,0.00628314396555895,0.00471263264565372,1.17795287671862
0.003,0.00942463843314401,0.00706929127789946,1.1776628905593
0.004,0.0125660398833526,0.00942614719300826,1.17736113519552
0.005,0.0157073173118207,0.0117831771918505,1.17704761682476
0.006,0.0188484397154082,0.0141403580703167,1.17672234176341
0.007,0.0219893760925051,0.0164976666195457,1.17638531644676
0.008,0.0251300954433375,0.0188550796261534,1.17603654742884
0.009,0.0282705667702733,0.0212125738724616,1.1756760413823
0.01,0.0314107590781283,0.0235701261367264,1.17530380509834
0.011,0.0345506413744723,0.0259277131933669,1.17491984548659
0.012,0.0376901826699345,0.0282853118131949,1.17452416957498
0.013,0.04082935197851,0.0306428987636426,1.17411678450963
0.014,0.0439681183178649,0.033000450808993,1.17369769755474
0.015,0.0471064507096427,0.0353579447106081,1.1732669160925
0.016,0.0502443181797696,0.0377153572271583,1.17282444762291
0.017,0.0533816897587605,0.040072665114852,1.17237029976371
0.018,0.0565185344820245,0.0424298451276646,1.17190448025029
0.019,0.0596548213901707,0.0447868740175681,1.17142699693547
0.02,0.0627905195293134,0.0471437285347605,1.17093785778948
0.021,0.0659255979513779,0.0495003854278953,1.17043707089977
0.022,0.0690600257144058,0.0518568214443113,1.16992464447092
0.023,0.0721937718828606,0.0542130133302618,1.1694005868245
0.024,0.0753268055279327,0.0565689378311449,1.16886490639895
0.025,0.0784590957278449,0.0589245716917329,1.16831761174946
0.026,0.0815906115681576,0.0612798916564022,1.1677587115478
0.027,0.0847213221420734,0.0636348744693632,1.16718821458226
0.028,0.0878511965507432,0.0659894968748901,1.16660612975744
0.029,0.0909802039035699,0.068343735617551,1.16601246609418
0.03,0.0941083133185143,0.0706975674424378,1.1654072327294
0.031,0.0972354939223993,0.0730509690953963,1.16479043891594
0.032,0.100361714851215,0.0754039173232562,1.16416209402249
0.033,0.103486945250423,0.0777563888740612,1.16352220753338
0.034,0.10661115427526,0.0801083604972994,1.16287078904849
0.035,0.109734311091045,0.0824598089441329,1.1622078482831
0.036,0.112856384873482,0.0848107109676288,1.16153339506771
0.037,0.115977344808961,0.0871610433229886,1.16084743934797
0.038,0.11909716009487,0.0895107827677791,1.16014999118447
0.039,0.122215799939889,0.0918599060621622,1.15944106075265
0.04,0.125333233564304,0.0942083899691257,1.15872065834259
0.041,0.128449430200303,0.0965562112547129,1.15798879435892
0.042,0.131564359092283,0.0989033466882537,1.15724547932066
0.043,0.134677989497153,0.101249773042594,1.15649072386105
0.044,0.137790290684638,0.103595467094328,1.15572453872741
0.045,0.140901231937583,0.105940405624025,1.154946934781
0.046,0.144010782552252,0.108284565416464,1.15415792299685
0.047,0.147118911838637,0.11062792326086,1.15335751446362
0.048,0.150225589120757,0.112970455951098,1.15254572038344
0.049,0.153330783736961,0.11531214028596,1.15172255207173
0.05,0.156434465040231,0.11765295306936,1.15088802095711
0.051,0.159536602398486,0.119992871110568,1.15004213858115
0.052,0.162637165194884,0.122331871224445,1.14918491659828
0.053,0.16573612282812,0.124669930231672,1.14831636677562
0.054,0.168833444712734,0.127007024958982,1.14743650099277
0.055,0.17192910027941,0.129343132239386,1.14654533124171
0.056,0.175023058975276,0.131678228912407,1.14564286962659
0.057,0.17811529026421,0.134012291824309,1.14472912836359
0.058,0.181205763627137,0.136345297828329,1.14380411978076
0.059,0.184294448562333,0.138677223784903,1.1428678563178
0.06,0.187381314585725,0.141008046561901,1.14192035052597
0.061,0.19046633123119,0.143337743034854,1.14096161506786
0.062,0.19354946805086,0.145666290087185,1.13999166271723
0.063,0.19663069461542,0.14799366461044,1.13901050635886
0.064,0.199709980514407,0.150319843504516,1.13801815898837
0.065,0.202787295356512,0.152644803677893,1.13701463371202
0.066,0.205862608769881,0.154968522047864,1.13599994374656
0.067,0.208935890402412,0.157290975540763,1.13497410241907
0.068,0.212007109922055,0.159612141092196,1.13393712316673
0.069,0.215076237017113,0.161931995647272,1.13288901953667
0.07,0.218143241396543,0.164250516160831,1.13182980518582
0.071,0.221208092790247,0.166567679597674,1.13075949388068
0.072,0.224270760949381,0.168883462932795,1.12967809949715
0.073,0.227331215646646,0.171197843151605,1.12858563602039
0.074,0.230389426676591,0.17351079725017,1.12748211754456
0.075,0.233445363855905,0.175822302235432,1.1263675582727
0.076,0.236498997023725,0.178132335125445,1.12524197251652
0.077,0.239550296041922,0.180440872949599,1.12410537469621
0.078,0.242599230795407,0.182747892748853,1.12295777934023
0.079,0.245645771192426,0.185053371575965,1.12179920108518
0.08,0.248689887164855,0.187357286495717,1.12062965467557
0.081,0.251731548668497,0.189659614585146,1.1194491549636
0.082,0.254770725683382,0.191960332933776,1.11825771690902
0.083,0.25780738821406,0.194259418643843,1.11705535557893
0.084,0.260841506289897,0.196556848830524,1.11584208614755
0.085,0.263873049965373,0.198852600622168,1.11461792389605
0.086,0.266901989320376,0.201146651160524,1.11338288421234
0.087,0.269928294460496,0.20343897760097,1.1121369825909
0.088,0.272951935517325,0.205729557112737,1.11088023463254
0.089,0.275972882648746,0.208018366879146,1.10961265604422
0.09,0.278991106039229,0.210305384097828,1.10833426263888
0.091,0.282006575900129,0.212590585980956,1.10704507033515
0.092,0.285019262469976,0.214873949755474,1.10574509515727
0.093,0.288029136014769,0.217155452663323,1.10443435323476
0.094,0.291036166828272,0.21943507196167,1.10311286080231
0.095,0.294040325232304,0.221712784923135,1.10178063419952
0.096,0.297041581577035,0.223988568836018,1.10043768987073
